10 628 2
1 20230701 790619925 19
2 20230701 797615082 39
2 20230701 797615082 24
2 20230701 797615082 44
2 20230701 791443841 25
6 20230702 799845659 19
6 20230702 800800800 19
0 20230702 792910303 22
9 20230702 791954087 29
0 20230703 123456 38
9 20230703 791046687 32
9 20230703 791863943 17
9 20230704 791863943 14
2 20230704 791443841 25
6 20230704 798928425 33
6 20230704 796853909 41
6 20230704 798654087 14
6 20230705 797525931 20
0 20230705 123456 9
2 20230705 796141013 15
1 20230706 790619925 26
0 20230706 790264095 4
0 20230706 798421003 23
9 20230707 797039710 44
2 20230707 796141013 12
2 20230707 791443841 19
4 20230707 794288020 34
6 20230708 794076541 44
2 20230708 791443841 4
2 20230708 796141013 10
9 20230708 796948724 3
4 20230708 794288020 40
9 20230708 794200780 27
3 20230708 798596758 14
9 20230709 791954087 10
2 20230709 797615082 19
2 20230710 797615082 5
9 20230710 791863943 6
9 20230710 799949966 10
2 20230711 796141013 32
3 20230711 797514538 24
9 20230711 797456999 28
7 20230711 796350431 22
0 20230712 790264095 20
0 20230713 790264095 1
9 20230713 791365815 21
4 20230714 794069830 43
4 20230714 794288020 14
2 20230714 791443841 14
6 20230714 794408649 36
9 20230714 791980381 4
2 20230714 791443841 22
2 20230715 796141013 9
6 20230715 794408649 14
6 20230716 797195613 16
6 20230716 799845659 11
2 20230716 791443841 30
9 20230716 794855347 37
3 20230716 798596758 41
0 20230716 123456 2
3 20230717 796504072 25
9 20230717 797958562 39
2 20230717 796141013 37
0 20230717 792910303 5
9 20230717 123456 32
6 20230718 791216294 18
4 20230718 791300878 18
2 20230718 791443841 12
2 20230718 796141013 10
2 20230718 791443841 1
2 20230718 791443841 28
9 20230718 123456 25
1 20230719 790619925 18
0 20230719 123456 2
2 20230720 797615082 14
9 20230720 793410985 35
9 20230721 795634577 30
3 20230721 797514538 43
2 20230721 796141013 37
3 20230722 798596758 40
0 20230722 798421003 8
9 20230723 796819610 43
9 20230723 796819610 44
6 20230723 795938726 22
9 20230723 797958562 5
6 20230723 794076541 31
2 20230723 791443841 38
9 20230723 791980381 17
0 20230723 798421003 26
6 20230724 794408649 38
2 20230724 796141013 1
2 20230724 791443841 17
2 20230724 796141013 17
9 20230724 794200780 26
2 20230725 796141013 25
2 20230725 796141013 7
3 20230725 797514538 27
6 20230725 794408649 3
2 20230726 797615082 5
2 20230726 796141013 3
2 20230726 791443841 8
0 20230726 792910303 44
9 20230726 799771968 1
9 20230726 791046687 9
0 20230726 798421003 21
9 20230726 791046687 35
6 20230727 799712171 19
6 20230727 799845659 20
9 20230727 793914633 23
9 20230728 791954087 1
3 20230728 797514538 35
1 20230729 790619925 20
0 20230729 800800800 4
8 20230730 799613334 43
6 20230730 123456 25
6 20230730 790144112 42
6 20230730 794076541 19
9 20230731 793410985 5
6 20230801 799845659 11
9 20230801 793574160 36
6 20230801 796505089 15
0 20230801 790264095 39
6 20230801 792557799 42
0 20230802 790264095 26
9 20230802 791046687 39
1 20230803 790619925 27
6 20230803 790597237 25
0 20230803 800800800 39
0 20230803 800800800 3
9 20230804 800800800 29
9 20230804 790110105 13
1 20230804 790619925 22
0 20230805 798421003 38
9 20230805 793914633 33
0 20230805 798421003 5
0 20230805 790264095 26
3 20230807 798596758 40
9 20230807 797300927 12
9 20230807 799771968 38
0 20230807 798421003 25
9 20230808 123456 4
9 20230808 796698031 23
4 20230808 800800800 4
6 20230808 791216294 32
0 20230808 792910303 1
6 20230810 798928425 39
9 20230810 794336275 17
9 20230810 799771968 34
0 20230810 798421003 38
0 20230810 790264095 29
3 20230811 797514538 44
0 20230811 790264095 44
0 20230811 800800800 20
4 20230812 123456 36
9 20230812 793410985 22
9 20230813 791046687 27
9 20230813 797498698 7
9 20230814 797039710 42
4 20230814 794288020 13
6 20230814 791216294 35
9 20230814 797300927 3
9 20230814 791365815 25
6 20230815 798654087 43
9 20230815 795510443 5
0 20230816 123456 14
6 20230816 794076541 25
0 20230817 123456 18
7 20230818 796350431 41
0 20230818 790264095 10
8 20230818 799613334 5
0 20230818 800800800 11
9 20230818 793574160 2
1 20230818 790619925 3
0 20230819 790264095 20
7 20230819 796350431 3
0 20230820 123456 31
9 20230820 796819610 27
9 20230820 791365815 33
9 20230821 790110105 18
9 20230821 791365815 4
1 20230821 790619925 43
0 20230821 800800800 30
0 20230821 798421003 34
4 20230822 794288020 38
9 20230822 796948724 37
9 20230822 793914633 22
9 20230823 796819610 8
9 20230823 794732257 10
6 20230823 791216294 40
9 20230823 797958562 13
9 20230823 792852332 18
6 20230824 794076541 29
9 20230824 791863943 35
6 20230825 123456 8
6 20230826 799712171 2
6 20230826 791216294 34
3 20230826 797514538 35
9 20230826 799949966 11
0 20230827 800800800 10
9 20230827 795510443 25
1 20230828 790619925 38
9 20230828 792852332 29
6 20230828 795938726 30
0 20230828 123456 33
3 20230828 798596758 13
0 20230829 123456 35
3 20230829 797514538 5
9 20230829 794336275 34
0 20230830 800800800 25
1 20230830 790619925 17
0 20230830 123456 21
9 20230830 794336275 23
9 20230831 790110105 17
0 20230831 790264095 7
0 20230831 792910303 3
9 20230831 794336275 24
0 20230901 123456 29
0 20230901 798421003 10
3 20230901 797514538 40
0 20230901 792910303 21
1 20230902 790619925 25
6 20230903 799712171 13
6 20230903 799513972 5
1 20230903 790619925 18
1 20230903 790619925 42
9 20230904 795038262 8
0 20230904 792910303 18
9 20230904 797498698 2
0 20230905 792910303 39
0 20230905 800800800 22
9 20230905 791954087 11
1 20230905 790619925 42
0 20230905 800800800 43
3 20230906 797514538 33
9 20230906 791980381 14
6 20230906 123456 31
9 20230907 797958562 18
4 20230907 798236802 25
6 20230907 794408649 33
0 20230908 798421003 39
1 20230908 790619925 2
6 20230909 790597237 25
9 20230909 791046687 40
0 20230909 798421003 44
9 20230909 794200780 21
9 20230909 794200780 10
9 20230909 797456999 14
3 20230909 797514538 11
9 20230911 791365815 38
7 20230913 794829136 11
6 20230913 790144112 30
1 20230913 790619925 33
9 20230913 796698031 13
9 20230913 794200780 7
9 20230913 797958562 35
9 20230913 793574160 14
4 20230913 798236802 42
9 20230913 800800800 25
8 20230913 799613334 24
6 20230914 798654087 18
1 20230914 790619925 36
0 20230914 792910303 9
0 20230914 123456 35
9 20230914 795510443 35
9 20230914 794855347 3
9 20230914 795634577 24
7 20230915 794829136 21
0 20230916 123456 37
9 20230916 794336275 32
0 20230916 792910303 8
9 20230916 796698031 5
9 20230916 800800800 38
9 20230917 797498698 13
9 20230917 797039710 31
9 20230918 799771968 9
9 20230918 791365815 25
9 20230918 800800800 13
1 20230918 790619925 9
3 20230919 797514538 19
9 20230919 790110105 12
3 20230919 798596758 40
9 20230920 796948724 22
6 20230920 800800800 39
1 20230920 790619925 8
